
Quadro extraído em 10 de Novembro de 2024 (16:55:30)
http://www.ine.pt



Período de referência dos dados;Recintos de cinema (N.º) -  Anual;
;Localização geográfica (Portugal);
;PT: Portugal;
;N.º ;
2023;200;
2022;190;
2021;176;
2020;174;
2019;185;
2018;186;
2017;173;
2016;167;
2015;165;
2014;168;
2013;158;
2012;160;
2011;165;
2010;167;
2009;174;
2008;182;
2007;176;
2006;140 ?;
2005;255;
2004;246;
2003;245;
2002;245;
2001;238;
2000;226;
1999;214 ?;
1998;332;
1997;313;
1996;270;
1995;241;
1994;175;
1993;187;
1992;209;
1991;240;
1990;276;
1989;333;
1988;378;
1987;358;
1986;373;
1985;379;
1984;377;
1983;415;
1982;423;
1981;420;
1980;423;
1979;435;
1978;x x;
1977;x x;
1976;x x;
1975;x x;
1974;x x;
1973;x x;
1972;x x;
1971;x x;
1970;x x;
1969;484;
1968;492;
1967;482;
1966;439;
1965;449;
1964;441;
1963;450;
1962;456;
1961;435;
1960;437;
1959;477;
1958;436;
1957;x x;
1956;437;
1955;435;
1954;436;
1953;443;
1952;425;
1951;427;
1950;448;

Recintos de cinema (N.º) -  Anual - INE, Estatísticas da cultura - séries históricas


Última atualização destes dados: 31 de maio de 2024


Metainformação associada ao quadro

Recintos de cinema (N.º)
Designação;Recintos de cinema (N.º) -  Anual
Periodicidade;Anual
Fonte;INE, Estatísticas da cultura - séries históricas
Primeiro período disponível;1950
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (Portugal)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;31-May-2024
