
Quadro extraído em 10 de Novembro de 2024 (16:57:39)
http://www.ine.pt



Período de referência dos dados;Sessões de cinema (N.º) -  Anual;
;Localização geográfica (Portugal);
;PT: Portugal;
;N.º ;
2023;542597;
2022;509806;
2021;330473;
2020;276982;
2019;661629;
2018;664341;
2017;665841;
2016;650538;
2015;621770;
2014;596884;
2013;558161;
2012;635051;
2011;670677;
2010;670315;
2009;651325;
2008;644778;
2007;605717;
2006;591139 ?;
2005;718537;
2004;659066;
2003;569889;
2002;504667;
2001;450201;
2000;419695;
1999;414864;
1998;311602;
1997;275420;
1996;194549;
1995;145846;
1994;125622;
1993;130595;
1992;138414;
1991;142191;
1990;168657;
1989;187485;
1988;213540;
1987;213626;
1986;189655;
1985;185092;
1984;188672;
1983;197270;
1982;189699;
1981;185658;
1980;170965;
1979;163796;
1978;153414;
1977;154892;
1976;148942;
1975;135853;
1974;120707;
1973;111835;
1972;106931;
1971;101214;
1970;101993;
1969;100139;
1968;97042;
1967;96194;
1966;85408;
1965;83233;
1964;82657;
1963;73528;
1962;82017;
1961;80964;
1960;79606;
1959;80077;
1958;78941;
1957;x x;
1956;76213;
1955;74965;
1954;72335;
1953;71332;
1952;70021;
1951;64388;
1950;64871;

Sessões de cinema (N.º) -  Anual - INE, Estatísticas da cultura - séries históricas


Última atualização destes dados: 31 de maio de 2024


Metainformação associada ao quadro

Sessões de cinema (N.º)
Designação;Sessões de cinema (N.º) -  Anual
Periodicidade;Anual
Fonte;INE, Estatísticas da cultura - séries históricas
Primeiro período disponível;1950
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (Portugal)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     SESSÃO;Apresentação pública concreta de um espetáculo com hora de início predefinida.
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;31-May-2024
