
Quadro extraído em 10 de Novembro de 2024 (17:04:50)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Lotação dos recintos de cinema (Metodologia 2006 - N.º) por Localização geográfica (NUTS - 2013) -  Anual;;;;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;;;;
;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;112555;111907;105239;109503;112156;113001;108435;104729;104462;105058;105364;107822;108732;
1: Continente;106168;106290;100330;104213;107611;108640;104074;100632;100447;100573;102126;104584;105194;
11: Norte;34573;35429;34879;33217;34643;34797;32958;32565;30082;29725;30003;30711;29266;
111: Alto Minho;1421;2075;1458;1490;1690;1690;1690;1490;1490;1198;1119;1661;1512;
112: Cávado;5058;5214;5875;5763;5977;5879;5879;6228;4526;4526;4729;4729;3596;
119: Ave;3458;3458;3458;3458;3458;3458;2861;2864;3130;3130;3002;3002;3002;
11A: Área Metropolitana do Porto;20025;20269;19976;18500;19105;18913;18221;17937;18237;17259;17566;17288;17125;
11B: Alto Tâmega;177;177;177;177;177;177;177;177;177;177;177;177;177;
11C: Tâmega e Sousa;1043;1043;1043;1043;1043;1238;1238;1226;1031;1031;1310;1310;1310;
11D: Douro;2451;2451;2150;2044;2451;2700;2150;1901;1241;1917;1427;1427;1427;
11E: Terras de Trás-os-Montes;940;742;742;742;742;742;742;742;250;487;673;1117;1117;
16: Centro;23993;23433;19455;22846;23172;23160;21997;21841;22768;23624;23640;23406;25203;
16B: Oeste;2412;2095;1651;1870;1870;1870;1651;1324;1324;1633;1507;1507;2168;
16D: Região de Aveiro;3402;3829;1790;4344;4344;4765;4765;4729;4729;5031;5137;4835;4908;
16E: Região de Coimbra;5888;5885;5881;6665;6402;6133;5765;5324;6283;5682;5099;4758;4758;
16F: Região de Leiria;3769;3736;3736;3571;3767;3987;3571;3981;3566;3771;3843;3832;4168;
16G: Viseu Dão Lafões;2746;2227;2227;2227;2227;2227;2227;2139;2139;2139;2240;2240;2459;
16H: Beira Baixa;1418;1418;1418;1418;1676;1418;1418;1404;1662;1334;1740;1740;1740;
16I: Médio Tejo;2289;2643;1316;1151;1269;1147;1147;1147;1272;1721;1734;2169;2829;
16J: Beiras e Serra da Estrela;2069;1600;1436;1600;1617;1613;1453;1793;1793;2313;2340;2325;2173;
17: Área Metropolitana de Lisboa;33135;33784;32106;34213;34509;35125;33864;33330;34637;33830;36001;38448;38812;
170: Área Metropolitana de Lisboa;33135;33784;32106;34213;34509;35125;33864;33330;34637;33830;36001;38448;38812;
18: Alentejo;8119;7099;7005;6993;8685;8956;7864;7306;7680;7611;6569;6461;6355;
181: Alentejo Litoral;1049;1049;1109;1109;1385;1410;1410;1410;1409;1384;1401;1122;880;
184: Baixo Alentejo;1252;1274;1440;1440;1749;2047;1347;1347;1347;2316;1696;1696;1696;
185: Lezíria do Tejo;1210;1299;1299;1299;1299;1299;1299;1299;1299;1413;1336;1336;1336;
186: Alto Alentejo;1736;1193;1193;842;1215;1163;1051;1215;1013;648;648;458;622;
187: Alentejo Central;2872;2284;1964;2303;3037;3037;2757;2035;2612;1850;1488;1849;1821;
15: Algarve;6348;6545;6885;6944;6602;6602;7391;5590;5280;5783;5913;5558;5558;
150: Algarve;6348;6545;6885;6944;6602;6602;7391;5590;5280;5783;5913;5558;5558;
2: Região Autónoma dos Açores;3338;2786;2078;2459;1714;1714;1714;1465;1383;1853;562;562;862;
20: Região Autónoma dos Açores;3338;2786;2078;2459;1714;1714;1714;1465;1383;1853;562;562;862;
200: Região Autónoma dos Açores;3338;2786;2078;2459;1714;1714;1714;1465;1383;1853;562;562;862;
3: Região Autónoma da Madeira;3049;2831;2831;2831;2831;2647;2647;2632;2632;2632;2676;2676;2676;
30: Região Autónoma da Madeira;3049;2831;2831;2831;2831;2647;2647;2632;2632;2632;2676;2676;2676;
300: Região Autónoma da Madeira;3049;2831;2831;2831;2831;2647;2647;2632;2632;2632;2676;2676;2676;

Lotação dos recintos de cinema (Metodologia 2006 - N.º) por Localização geográfica (NUTS - 2013) -  Anual - Instituto do Cinema e Audiovisual

Nota(s):
(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em "Lisboa" que passou a ser designada por "Área Metropolitana de Lisboa".



Última atualização destes dados: 31 de maio de 2024


Metainformação associada ao quadro

Lotação dos recintos de cinema (Metodologia 2006 - N.º)
Designação;Lotação dos recintos de cinema (Metodologia 2006 - N.º) por Localização geográfica (NUTS - 2013) -  Anual
Periodicidade;Anual
Fonte;Instituto do Cinema e Audiovisual
Primeiro período disponível;2011
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2013)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     LOTAÇÃO;Número total de lugares de uma sala (ou espaço delimitado), incluindo os reservados.
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;31-May-2024
