Year,Number of Cinema Venues
2023,200
2022,190
2021,176
2020,174
2019,185
2018,186
2017,173
2016,167
2015,165
2014,168
2013,158
2012,160
2011,165
2010,167
2009,174
2008,182
2007,176
2006,140
2005,255
2004,246
2003,245
2002,245
2001,238
2000,226
1999,214
1998,332
1997,313
1996,270
1995,241
1994,175
1993,187
1992,209
1991,240
1990,276
1989,333
1988,378
1987,358
1986,373
1985,379
1984,377
1983,415
1982,423
1981,420
1980,423
1979,435
1978,
1977,
1976,
1975,
1974,
1973,
1972,
1971,
1970,
1969,484
1968,492
1967,482
1966,439
1965,449
1964,441
1963,450
1962,456
1961,435
1960,437
1959,477
1958,436
1957,
1956,437
1955,435
1954,436
1953,443
1952,425
1951,427
1950,448
