Location,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Portugal,12305721,9613894,5480408,3802661,15540742,14776626,15609634,14924266,14566066,12090667,12546745,13810572,15701649,16559731.0,15704690.0,15979240.0,16318335.0,16367429.0,17165141.0,18799063.0,18721696.0,19477953.0,19470793.0,17913756.0
Continente,11971652,9370315,5334850,3700102,15108154,14372421,15155199,14534809,14188730,11785215,12314430,13430104,15240921,16052080.0,15190975.0,15465799.0,15723661.0,15746010.0,16498562.0,18054321.0,18095814.0,18798058.0,18806354.0,17466145.0
Norte,3894057,3112072,1812150,1217999,4813870,4624580,4873843,4505244,4509628,3675721,3871152,4249233,4679658,4855204.0,4629614.0,4749674.0,4793386.0,4801488.0,5281298.0,5638638.0,5738058.0,6291397.0,6444596.0,6061825.0
Alto Minho,99925,83862,50170,30032,146257,136988,153259,137946,149309,98342,37820,137213,149022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cávado,607364,477391,261058,182125,760726,744583,763126,646741,612605,497251,536385,523079,565966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ave,210324,172486,109930,67041,285567,273557,295363,264408,281814,203600,216228,261316,283452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Área Metropolitana do Porto,2630576,2093147,1220378,839136,3182599,3048226,3216487,3076881,3100777,2620208,2798401,3037053,3347009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alto Tâmega,5263,3596,1993,993,6216,6256,7228,3677,18,95,1231,1959,436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tâmega e Sousa,170053,152229,86990,48134,214098,203436,204954,166739,168305,111565,122436,130857,137935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douro,163567,123024,79065,48389,204457,198541,218556,191857,192820,141414,153728,150640,167909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terras de Trás-os-Montes,6985,6337,2566,2149,13950,12993,14870,16995,3980,3246,4923,7116,27929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro,1757229,1293059,691238,489986,2096241,2021097,2238474,2115707,2105073,1627553,1754466,1861236,2152190,1774889.0,1660722.0,1711672.0,1739291.0,1544023.0,1824324.0,2140741.0,2250178.0,2531535.0,2584920.0,2289238.0
Oeste,236981,189237,112650,64889,312887,287848,321375,294543,306674,245505,285443,281135,338909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Região de Aveiro,321241,174649,9829,60445,327696,325730,391064,363267,362795,273152,305332,303970,346957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Região de Coimbra,457458,366437,233423,152493,564060,564675,600709,584173,582340,472011,524271,503224,566291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Região de Leiria,260684,197199,113316,75798,319340,301576,344176,328476,328084,252058,238089,279940,325979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viseu Dão Lafões,231453,177514,104368,67449,271661,259183,282699,252363,256552,194763,220998,213309,242584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beira Baixa,50721,38594,24527,15722,70806,70755,72442,80272,28042,6052,14174,71386,84383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Médio Tejo,98766,76493,47782,26506,101881,91460,96877,96858,99279,74403,79719,88329,115079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beiras e Serra da Estrela,99925,72936,45343,26684,127910,119870,129132,115755,141307,109609,86440,119943,132008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Área Metropolitana de Lisboa,5342093,4192125,2372845,1680473,6861597,6432093,6895109,6815990,6511997,5691118,5960786,6361165,7285695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
