
Quadro extraído em 10 de Novembro de 2024 (17:02:56)
http://www.ine.pt



Localização geográfica (NUTS - 2002);Lotação dos recintos de cinema (Metodologia 2006 - N.º) por Localização geográfica (NUTS - 2002) -  Anual;;;;;;;;
;Período de referência dos dados;;;;;;;;
;2013;2012;2011;2010;2009;2008;2007;2006;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;105364;107822;108732;109349;110914;113792;109820;91467;
1: Continente;102126;104584;105194;105511;107376;109350;105678;88229;
11: Norte;30003;30711;29266;30385;31011;29487;29105;26136;
111: Minho-Lima;1119;1661;1512;1661;1306;1306;1484;1763;
112: Cávado;4729;4729;3596;4363;4239;4239;4239;3486;
113: Ave;3002;3002;3002;3002;3002;2234;2234;1773;
114: Grande Porto;16611;16333;16170;16325;16994;16383;15123;14823;
115: Tâmega;1310;1310;1310;1290;1290;1290;1539;1539;
116: Entre Douro e Vouga;955;955;955;1322;1322;1322;1617;915;
117: Douro;1427;1427;1427;1101;1537;1392;1761;1216;
118: Alto Trás-os-Montes;850;1294;1294;1321;1321;1321;1108;621;
16: Centro;23640;23406;25203;25313;23494;24393;21804;17512;
161: Baixo Vouga;5137;4835;4908;4908;5318;4548;3838;3390;
162: Baixo Mondego;4488;4433;4433;4433;3607;4383;3607;4840;
163: Pinhal Litoral;3643;3632;3968;3976;3695;3695;3695;1676;
164: Pinhal Interior Norte;811;325;325;817;817;817;817;344;
165: Dão-Lafões;2240;2240;2459;2577;2577;2577;1658;2123;
166: Pinhal Interior Sul;162;0;0;162;162;162;162;267;
167: Serra da Estrela;717;717;717;717;365;717;717;365;
168: Beira Interior Norte;1023;1223;1071;871;871;1288;937;616;
169: Beira Interior Sul;1578;1740;1740;1578;658;658;579;579;
16A: Cova da Beira;600;585;1740;585;585;585;585;585;
16B: Oeste;1507;1507;2168;1726;1876;2134;2270;1549;
16C: Médio Tejo;1734;2169;2829;2963;2963;2829;2939;1178;
17: Lisboa;36001;38448;38812;37289;38520;39798;39734;33125;
171: Grande Lisboa;28287;27706;28106;26830;27390;27576;27234;25108;
172: Península de Setúbal;7714;10742;10706;10459;11130;12222;12500;8017;
18: Alentejo;6569;6461;6355;6914;7999;9718;8809;6428;
181: Alentejo Litoral;1401;1122;880;586;755;755;755;555;
182: Alto Alentejo;648;458;622;1021;1741;2014;1589;1013;
183: Alentejo Central;1488;1849;1821;2055;2001;3081;2865;1624;
184: Baixo Alentejo;1696;1696;1696;2030;2280;2646;2714;2464;
185: Lezíria do Tejo;1336;1336;1336;1222;1222;1222;886;772;
15: Algarve;5913;5558;5558;5610;6352;5954;6226;5028;
150: Algarve;5913;5558;5558;5610;6352;5954;6226;5028;
2: Região Autónoma dos Açores;562;562;862;1162;862;1766;1466;562;
20: Região Autónoma dos Açores;562;562;862;1162;862;1766;1466;562;
200: Região Autónoma dos Açores;562;562;862;1162;862;1766;1466;562;
3: Região Autónoma da Madeira;2676;2676;2676;2676;2676;2676;2676;2676;
30: Região Autónoma da Madeira;2676;2676;2676;2676;2676;2676;2676;2676;
300: Região Autónoma da Madeira;2676;2676;2676;2676;2676;2676;2676;2676;

Lotação dos recintos de cinema (Metodologia 2006 - N.º) por Localização geográfica (NUTS - 2002) -  Anual - Instituto do Cinema e Audiovisual


Última atualização destes dados: 02 de julho de 2015


Metainformação associada ao quadro

Lotação dos recintos de cinema (Metodologia 2006 - N.º)
Designação;Lotação dos recintos de cinema (Metodologia 2006 - N.º) por Localização geográfica (NUTS - 2002) -  Anual
Periodicidade;Anual
Fonte;Instituto do Cinema e Audiovisual
Primeiro período disponível;2006
Último período disponível;2013
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2002)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     LOTAÇÃO;Número total de lugares de uma sala (ou espaço delimitado), incluindo os reservados.
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;02-Jul-2015
