
Quadro extraído em 10 de Novembro de 2024 (17:03:39)
http://www.ine.pt



Localização geográfica (NUTS - 2002);Recintos de cinema (Metodologia 2006 - N.º) por Localização geográfica (NUTS - 2002) -  Anual;;;;;;;;
;Período de referência dos dados;;;;;;;;
;2013;2012;2011;2010;2009;2008;2007;2006;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;158;160;165;167;174;182;176;140;
1: Continente;155;157;161;163;170;176;170;137;
11: Norte;43;44;42;42;46;42;40;32;
111: Minho-Lima;4;5;4;5;4;4;4;5;
112: Cávado;5;5;4;5;5;5;5;3;
113: Ave;5;5;5;5;5;4;4;3;
114: Grande Porto;17;16;16;15;17;15;11;10;
115: Tâmega;3;3;3;3;3;3;4;4;
116: Entre Douro e Vouga;2;2;2;3;3;3;4;2;
117: Douro;4;4;4;2;5;4;5;3;
118: Alto Trás-os-Montes;3;4;4;4;4;4;3;2;
16: Centro;46;44;51;53;52;54;52;43;
161: Baixo Vouga;7;7;8;8;9;7;6;4;
162: Baixo Mondego;6;5;5;5;3;4;3;5;
163: Pinhal Litoral;5;5;7;7;9;9;9;8;
164: Pinhal Interior Norte;4;2;2;4;4;4;4;2;
165: Dão-Lafões;4;4;5;6;6;6;5;5;
166: Pinhal Interior Sul;1;0;0;1;1;1;1;2;
167: Serra da Estrela;2;2;2;2;1;2;2;1;
168: Beira Interior Norte;4;5;4;3;3;5;4;3;
169: Beira Interior Sul;4;5;5;4;2;2;2;2;
16A: Cova da Beira;1;1;1;1;1;1;1;1;
16B: Oeste;3;3;5;4;5;6;7;6;
16C: Médio Tejo;5;5;7;8;8;7;8;4;
17: Lisboa;35;38;37;34;33;37;37;33;
171: Grande Lisboa;27;27;27;24;24;27;27;25;
172: Península de Setúbal;8;11;10;10;9;10;10;8;
18: Alentejo;22;23;23;26;29;33;29;21;
181: Alentejo Litoral;6;5;4;3;3;3;3;2;
182: Alto Alentejo;2;2;3;4;5;7;6;5;
183: Alentejo Central;5;7;7;8;9;10;9;5;
184: Baixo Alentejo;5;5;5;7;8;9;9;8;
185: Lezíria do Tejo;4;4;4;4;4;4;2;1;
15: Algarve;9;8;8;8;10;10;12;8;
150: Algarve;9;8;8;8;10;10;12;8;
2: Região Autónoma dos Açores;1;1;2;2;2;4;4;1;
20: Região Autónoma dos Açores;1;1;2;2;2;4;4;1;
200: Região Autónoma dos Açores;1;1;2;2;2;4;4;1;
3: Região Autónoma da Madeira;2;2;2;2;2;2;2;2;
30: Região Autónoma da Madeira;2;2;2;2;2;2;2;2;
300: Região Autónoma da Madeira;2;2;2;2;2;2;2;2;

Recintos de cinema (Metodologia 2006 - N.º) por Localização geográfica (NUTS - 2002) -  Anual - Instituto do Cinema e Audiovisual


Última atualização destes dados: 02 de julho de 2015


Metainformação associada ao quadro

Recintos de cinema (Metodologia 2006 - N.º)
Designação;Recintos de cinema (Metodologia 2006 - N.º) por Localização geográfica (NUTS - 2002) -  Anual
Periodicidade;Anual
Fonte;Instituto do Cinema e Audiovisual
Primeiro período disponível;2006
Último período disponível;2013
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2002)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;02-Jul-2015
