
Quadro extraído em 10 de Novembro de 2024 (17:10:52)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Recintos de cinema (Metodologia 2006 - N.º) por Localização geográfica (NUTS - 2013) -  Anual;;;;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;;;;
;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;200;190;176;174;185;186;173;167;165;168;158;160;165;
1: Continente;187;179;167;164;176;178;165;161;159;164;155;157;161;
11: Norte;52;55;52;46;51;53;49;48;44;44;43;44;42;
111: Alto Minho;5;8;5;5;6;6;6;5;5;4;4;5;4;
112: Cávado;6;6;7;6;7;6;6;6;5;5;5;5;4;
119: Ave;5;5;5;5;5;5;5;5;6;6;5;5;5;
11A: Área Metropolitana do Porto;23;24;24;19;21;22;20;20;21;20;19;18;18;
11B: Alto Tâmega;1;1;1;1;1;1;1;1;1;1;1;1;1;
11C: Tâmega e Sousa;2;2;2;2;2;3;3;3;2;2;3;3;3;
11D: Douro;7;7;6;6;7;8;6;6;3;5;4;4;4;
11E: Terras de Trás-os-Montes;3;2;2;2;2;2;2;2;1;1;2;3;3;
16: Centro;54;51;44;47;48;47;45;45;45;50;46;44;51;
16B: Oeste;6;5;4;5;5;5;4;3;3;4;3;3;5;
16D: Região de Aveiro;7;8;6;8;8;8;8;8;8;8;7;7;8;
16E: Região de Coimbra;11;11;11;12;10;10;12;10;10;12;9;7;7;
16F: Região de Leiria;6;6;6;5;6;7;5;7;5;6;6;6;8;
16G: Viseu Dão Lafões;6;4;4;4;4;4;4;4;4;4;4;4;5;
16H: Beira Baixa;4;4;4;4;5;4;4;4;5;4;5;5;5;
16I: Médio Tejo;7;8;5;4;5;4;4;4;5;5;5;5;7;
16J: Beiras e Serra da Estrela;7;5;4;5;5;5;4;5;5;7;7;7;6;
17: Área Metropolitana de Lisboa;43;36;33;35;37;37;32;31;35;35;35;38;37;
170: Área Metropolitana de Lisboa;43;36;33;35;37;37;32;31;35;35;35;38;37;
18: Alentejo;27;25;25;24;29;30;27;27;26;26;22;23;23;
181: Alentejo Litoral;5;5;5;5;6;7;7;7;7;6;6;5;4;
184: Baixo Alentejo;4;4;5;5;6;6;4;4;4;7;5;5;5;
185: Lezíria do Tejo;3;4;4;4;4;4;4;4;4;5;4;4;4;
186: Alto Alentejo;7;5;5;3;5;5;4;5;3;2;2;2;3;
187: Alentejo Central;8;7;6;7;8;8;8;7;8;6;5;7;7;
15: Algarve;11;12;13;12;11;11;12;10;9;9;9;8;8;
150: Algarve;11;12;13;12;11;11;12;10;9;9;9;8;8;
2: Região Autónoma dos Açores;9;8;6;7;6;6;6;4;4;2;1;1;2;
20: Região Autónoma dos Açores;9;8;6;7;6;6;6;4;4;2;1;1;2;
200: Região Autónoma dos Açores;9;8;6;7;6;6;6;4;4;2;1;1;2;
3: Região Autónoma da Madeira;4;3;3;3;3;2;2;2;2;2;2;2;2;
30: Região Autónoma da Madeira;4;3;3;3;3;2;2;2;2;2;2;2;2;
300: Região Autónoma da Madeira;4;3;3;3;3;2;2;2;2;2;2;2;2;

Recintos de cinema (Metodologia 2006 - N.º) por Localização geográfica (NUTS - 2013) -  Anual - Instituto do Cinema e Audiovisual

Nota(s):
(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em "Lisboa" que passou a ser designada por "Área Metropolitana de Lisboa".



Última atualização destes dados: 31 de maio de 2024


Metainformação associada ao quadro

Recintos de cinema (Metodologia 2006 - N.º)
Designação;Recintos de cinema (Metodologia 2006 - N.º) por Localização geográfica (NUTS - 2013) -  Anual
Periodicidade;Anual
Fonte;Instituto do Cinema e Audiovisual
Primeiro período disponível;2011
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2013)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;31-May-2024
